time,ref_x,x,ref_y,y,ref_z,z,ref_u,u,ref_v,v,ref_w,w,ref_phi,phi,ref_theta,theta,ref_psi,psi,thrust
1.35,-0.12851,-0.385455,-1.16359,-0.9002,1,0.936648,1.46358,1.62234,-0.32851,-0.890123,0,-0.00870626,0.000701279,-0.0305804,0.207255,0.180416,1.32,0.936791,0.212344
1.4,-0.054951,-0.307164,-1.17817,-0.943523,1,0.935303,1.47818,1.62534,-0.254951,-0.837967,0,-0.00751,0.00366794,-0.0328577,0.204499,0.18363,1.37,0.990674,0.212474
1.45,0.019246,-0.23708,-1.18907,-0.976714,1,0.93446,1.48907,1.64208,-0.180754,-0.723701,0,-0.00511156,0.00793249,-0.0390586,0.211557,0.184722,1.42,1.03729,0.212422
1.5,0.093894,-0.1671,-1.19624,-1.00582,1,0.933488,1.49624,1.65153,-0.106106,-0.652988,0,-0.00104422,0.01039,-0.0337374,0.205377,0.188335,1.47,1.08196,0.212281
1.55,0.168808,-0.0965891,-1.19968,-1.02995,1,0.932556,1.49968,1.65165,-0.031192,-0.506564,0,0.00102005,0.0135678,-0.0336737,0.207037,0.197732,1.52,1.13196,0.212639
1.6,0.243799,-0.0261888,-1.19936,-1.04928,1,0.931931,1.49936,1.65968,0.043799,-0.450554,0,0.00140647,0.0160747,-0.0326081,0.20166,0.201993,1.57,1.17854,0.212631
1.65,0.318681,0.0442646,-1.1953,-1.0641,1,0.931243,1.4953,1.64391,0.118681,-0.296802,0,0.00241313,0.0194438,-0.0229144,0.202154,0.201856,1.62,1.22605,0.212246
1.7,0.393267,0.119534,-1.1875,-1.07451,1,0.930728,1.4875,1.63422,0.193267,-0.171499,0,0.00355129,0.0230851,-0.0226267,0.194545,0.197644,1.67,1.27571,0.212557
1.75,0.467369,0.199234,-1.17598,-1.08009,1,0.930317,1.47598,1.62189,0.267369,-0.0911737,0,0.0062815,0.0310614,-0.0173678,0.196919,0.195141,1.72,1.32819,0.212255
1.8,0.540803,0.268954,-1.16077,-1.08044,1,0.930158,1.46077,1.60277,0.340803,0.0311999,0,0.00627962,0.0290842,-0.00641419,0.186916,0.196745,1.77,1.37595,0.211608
1.85,0.613385,0.338553,-1.14191,-1.07657,1,0.929895,1.44191,1.59263,0.413385,0.0855883,0,0.00936416,0.0324478,-0.00345875,0.179156,0.192392,1.82,1.42329,0.211445
1.9,0.684934,0.407643,-1.11945,-1.06868,1,0.929348,1.41945,1.56217,0.484934,0.222863,0,0.0065114,0.0298898,0.00426522,0.179795,0.19415,1.87,1.47262,0.21157
1.95,0.755271,0.476546,-1.09344,-1.05643,1,0.929009,1.39344,1.55698,0.555271,0.277429,0,0.00390763,0.0307807,0.0104492,0.171862,0.191419,1.92,1.51611,0.212138
2,0.82422,0.558682,-1.06395,-1.03678,1,0.928387,1.36395,1.52165,0.62422,0.414456,0,-0.00634534,0.0305302,0.0110793,0.171772,0.181346,1.97,1.57039,0.212333
2.05,0.891609,0.626421,-1.03104,-1.01623,1,0.927598,1.33104,1.49571,0.691609,0.48298,0,-0.0063744,0.0347958,0.0109564,0.15921,0.180236,2.02,1.61914,0.213062
2.1,0.957269,0.693528,-0.994814,-0.992163,1,0.926933,1.29481,1.45971,0.757269,0.591688,0,-0.0100981,0.0301362,0.00811583,0.164491,0.176947,2.07,1.66309,0.213369
2.15,1.02104,0.759182,-0.955348,-0.964709,1,0.925945,1.25535,1.43839,0.821036,0.635967,0,-0.00661508,0.0292301,0.0141316,0.158759,0.16862,2.12,1.7047,0.212952
2.2,1.08275,0.820029,-0.912745,-0.935874,1,0.92551,1.21274,1.38677,0.882752,0.747233,0,-0.00166438,0.0245959,0.0112492,0.15125,0.166654,2.17,1.75216,0.212307
