time,ref_x,x,ref_y,y,ref_z,z,ref_u,u,ref_v,v,ref_w,w,ref_phi,phi,ref_theta,theta,ref_psi,psi,thrust
1.35,1.09503,1.95344,1.06845,-0.0969292,1,1.22455,-4.87862,-3.89189,-4.52036,-1.61276,0,0.140986,0.133546,0.252958,-0.220178,-0.270922,0,0.0242417,0.601146
1.4,0.849836,1.79735,0.83747,-0.160872,1,1.23059,-4.92725,-3.93132,-4.71111,-1.68405,0,0.112599,0.0880013,0.22829,-0.183454,-0.255167,-1.76433e-18,0.0243372,0.586029
1.45,0.602514,1.56049,0.598123,-0.261942,1,1.23708,-4.96357,-3.97864,-4.85479,-1.76751,0,0.0591422,0.0617176,0.187935,-0.177715,-0.232629,0,0.0234044,0.580367
1.5,0.353686,1.40115,0.3528,-0.33199,1,1.23938,-4.98747,-4.00182,-4.94996,-1.8076,0,0.0147775,0.016908,0.159749,-0.147997,-0.218335,-2.19237e-19,0.022279,0.572385
1.55,0.103974,1.16065,0.103952,-0.43986,1,1.23919,-4.99892,-4.02557,-4.99568,-1.84704,0,-0.0622514,-0.0166905,0.118444,-0.145317,-0.195979,0,0.0200641,0.56921
1.6,-0.145998,0.99964,-0.145935,-0.512961,1,1.23643,-4.99787,-4.0346,-4.99147,-1.85914,0,-0.118455,-0.0670595,0.0907796,-0.121101,-0.180606,0,0.0183868,0.567431
1.65,-0.395604,0.757526,-0.394364,-0.6222,1,1.22778,-4.98433,-4.03719,-4.9374,-1.85873,0,-0.207016,-0.0887966,0.0475482,-0.11187,-0.159343,-8.72818e-19,0.0154899,0.567704
1.7,-0.644222,0.466801,-0.638853,-0.750551,1,1.20963,-4.95832,-4.02734,-4.83399,-1.8277,0,-0.317315,-0.127111,-0.0140917,-0.0861453,-0.1341,0,0.0112869,0.573212
1.75,-0.89123,0.354015,-0.876958,-0.799806,1,1.20045,-4.91993,-4.01998,-4.68228,-1.80734,0,-0.359101,-0.169065,-0.0316628,-0.0681121,-0.126916,8.69378e-19,0.00989773,0.580692
1.8,-1.13601,0.0652171,-1.1063,-0.924198,1,1.17161,-4.86924,-3.99299,-4.48379,-1.73264,0,-0.460225,-0.189421,-0.0856736,-0.0536951,-0.103651,0,0.00546133,0.587294
1.85,-1.37795,-0.0464906,-1.32459,-0.971049,1,1.15851,-4.80638,-3.97909,-4.2405,-1.69559,0,-0.496269,-0.219701,-0.103308,-0.0344882,-0.0965249,4.33939e-19,0.0040738,0.598856
1.9,-1.61645,-0.331632,-1.52964,-1.08685,1,1.12049,-4.7315,-3.93402,-3.95484,-1.57792,0,-0.575258,-0.267374,-0.156937,-0.0230701,-0.0739583,0,-0.000198341,0.606919
1.95,-1.8509,-0.441575,-1.71941,-1.12949,1,1.10436,-4.6448,-3.91328,-3.62966,-1.52353,0,-0.600655,-0.273337,-0.171113,-0.00226569,-0.0680919,0,-0.00124073,0.620383
2,-2.08073,-0.72127,-1.89201,-1.232,1,1.06021,-4.54649,-3.84928,-3.26822,-1.3595,0,-0.649784,-0.36189,-0.226944,0.0121013,-0.0438363,0,-0.00549334,0.632952
2.05,-2.30536,-0.830684,-2.04569,-1.26742,1,1.04152,-4.43681,-3.82163,-2.87412,-1.2853,0,-0.661578,-0.338288,-0.238872,0.0306685,-0.0379522,8.6777e-19,-0.00650761,0.644992
2.1,-2.52423,-1.10914,-2.17894,-1.34809,1,0.992279,-4.31605,-3.74078,-2.4513,-1.07064,0,-0.667927,-0.4028,-0.288957,0.0501779,-0.0129466,0,-0.0103761,0.658457
2.15,-2.73679,-1.21564,-2.29041,-1.37522,1,0.973147,-4.18449,-3.7047,-2.004,-0.977765,0,-0.664774,-0.413909,-0.30135,0.0723705,-0.0068382,0,-0.0111722,0.672312
2.2,-2.94251,-1.48322,-2.379,-1.43331,1,0.925197,-4.04248,-3.59907,-1.53666,-0.716193,0,-0.633054,-0.420911,-0.34143,0.096135,0.0195519,0,-0.014788,0.68523
2.25,-3.14087,-1.58505,-2.44382,-1.45074,1,0.907361,-3.89037,-3.55298,-1.05398,-0.606524,0,-0.613964,-0.442543,-0.348733,0.111952,0.0247578,3.4913e-18,-0.0153956,0.691364
2.3,-3.33138,-1.83972,-2.48423,-1.48153,1,0.864866,-3.72853,-3.42241,-0.560763,-0.302127,0,-0.544183,-0.414091,-0.385661,0.128558,0.0512598,3.49832e-18,-0.0181453,0.694375
2.35,-3.51356,-1.93605,-2.49981,-1.48749,1,0.849853,-3.55737,-3.36647,-0.061943,-0.176104,0,-0.512357,-0.428169,-0.393439,0.144199,0.0581644,0,-0.0188413,0.699015
2.4,-3.68697,-2.17542,-2.49041,-1.48669,1,0.815909,-3.37732,-3.20808,0.437495,0.162923,0,-0.4188,-0.425169,-0.415506,0.159051,0.085935,0,-0.0213985,0.701331
2.45,-3.85116,-2.39405,-2.45613,-1.46227,1,0.789734,-3.18882,-3.04471,0.932562,0.489605,0,-0.322465,-0.396549,-0.420993,0.177205,0.10792,0,-0.0230276,0.694421
2.5,-4.00572,-2.4926,-2.39731,-1.44329,1,0.779929,-2.99236,-2.96163,1.41831,0.643186,0,-0.272854,-0.382918,-0.421458,0.1964,0.120064,7.07491e-18,-0.0235472,0.690893
2.55,-4.15027,-2.69268,-2.31454,-1.38696,1,0.764495,-2.78842,-2.77525,1.88989,0.963956,0,-0.168834,-0.397395,-0.419669,0.23511,0.143596,7.13519e-18,-0.0246359,0.695951
2.6,-4.28444,-2.78181,-2.20864,-1.3532,1,0.759737,-2.57751,-2.68177,2.34258,1.11069,0,-0.123248,-0.361702,-0.416904,0.247838,0.157248,7.15759e-18,-0.0251169,0.685786
2.65,-4.40791,-2.96091,-2.08067,-1.26649,1,0.754264,-2.36015,-2.47569,2.77187,1.40498,0,-0.0360765,-0.324034,-0.400571,0.244496,0.179361,0,-0.0249472,0.672833
2.7,-4.52036,-3.03988,-1.93191,-1.21909,1,0.753733,-2.1369,-2.37494,3.17346,1.53459,0,0.00304797,-0.299585,-0.389803,0.274589,0.192333,7.20896e-18,-0.0247849,0.665318
2.75,-4.62151,-3.19666,-1.76385,-1.10544,1,0.756228,-1.9083,-2.15471,3.54335,1.78478,0,0.0683262,-0.282721,-0.366458,0.292054,0.213607,0,-0.0242449,0.66218
2.8,-4.71111,-3.26491,-1.57817,-1.04642,1,0.758979,-1.67494,-2.04814,3.87783,1.89055,0,0.0941338,-0.22914,-0.347574,0.296329,0.226286,0,-0.0232868,0.643939
2.85,-4.78894,-3.39917,-1.37671,-0.911026,1,0.765164,-1.43739,-1.8196,4.17356,2.08817,0,0.135175,-0.206843,-0.317185,0.328561,0.245393,0,-0.0217892,0.642214
2.9,-4.85479,-3.45669,-1.16151,-0.842997,1,0.769051,-1.19625,-1.71021,4.4276,2.168,0,0.147625,-0.153525,-0.293776,0.313969,0.257926,0,-0.0207131,0.624586
2.95,-4.90851,-3.56708,-0.934692,-0.690776,1,0.778475,-0.952113,-1.47516,4.63739,2.30912,0,0.160842,-0.102463,-0.255462,0.314579,0.277077,3.64849e-18,-0.019127,0.613229
3,-4.94996,-3.61326,-0.698539,-0.616149,1,0.783238,-0.7056,-1.36459,4.80085,2.36046,0,0.160249,-0.0716682,-0.227473,0.342762,0.288219,-1.84186e-18,-0.0177433,0.610848
3.05,-4.97904,-3.69945,-0.455406,-0.452922,1,0.793238,-0.457323,-1.12707,4.91634,2.44108,0,0.146296,-0.0266833,-0.182685,0.333275,0.303182,0,-0.0154487,0.603274
3.1,-4.99568,-3.76177,-0.207724,-0.305362,1,0.801183,-0.207903,-0.916471,4.98271,2.47927,0,0.122387,0.00365157,-0.133943,0.35288,0.317858,0,-0.0132375,0.602399
3.15,-4.99982,-3.79616,0.042035,-0.2061,1,0.805621,0.042036,-0.775443,4.99929,2.48845,0,0.102118,0.0546047,-0.103102,0.357682,0.325477,0,-0.0114969,0.600727
3.2,-4.99147,-3.83775,0.291373,-0.0578095,1,0.810284,0.291871,-0.564487,4.96593,2.47898,0,0.070108,0.0825389,-0.0554581,0.369283,0.336559,-1.86012e-18,-0.00904293,0.601891
3.25,-4.97065,-3.85911,0.5378,0.0396021,1,0.81182,0.540976,-0.422157,4.88294,2.45751,0,0.0483245,0.145742,-0.0231738,0.389821,0.344844,0,-0.00765356,0.606472
3.3,-4.9374,-3.88006,0.778853,0.183801,1,0.812751,0.788728,-0.207775,4.75116,2.40316,0,0.0145044,0.175111,0.0228308,0.401005,0.35433,-7.53679e-18,-0.0058271,0.610891
3.35,-4.89181,-3.88662,1.01212,0.277942,1,0.812747,1.03451,-0.0629796,4.57192,2.35268,0,-0.00475291,0.213422,0.0531933,0.392779,0.359916,0,-0.00476394,0.617156
3.4,-4.83399,-3.88527,1.23528,0.414976,1,0.811569,1.27771,0.156561,4.34699,2.25532,0,-0.0282226,0.260302,0.0974774,0.422338,0.36613,0,-0.00357694,0.626206
3.45,-4.76409,-3.87684,1.4461,0.502878,1,0.810157,1.51771,0.305224,4.07863,2.1758,0,-0.0380147,0.282997,0.129793,0.401723,0.370219,7.53909e-18,-0.00282504,0.632689
3.5,-4.68228,-3.85274,1.64247,0.628286,1,0.807556,1.75392,0.532138,3.76951,2.03258,0,-0.0410138,0.309405,0.175437,0.410743,0.377628,0,-0.0017323,0.640603
3.55,-4.58877,-3.80535,1.82242,0.766404,1,0.804555,1.98574,0.810451,3.42273,1.82232,0,-0.0318823,0.323699,0.229762,0.384309,0.385628,0,-0.000756435,0.645674
3.6,-4.48379,-3.78296,1.98417,0.816004,1,0.802902,2.2126,0.917831,3.04176,1.73084,0,-0.0257939,0.357706,0.241607,0.401436,0.386415,0,-0.000818454,0.656548
3.65,-4.3676,-3.71203,2.12609,0.931388,1,0.799792,2.43393,1.19613,2.63039,1.47107,0,0.00930627,0.385911,0.2842,0.394981,0.384068,1.50355e-17,-0.00229894,0.663941
3.7,-4.2405,-3.67887,2.24677,0.970993,1,0.799695,2.64918,1.30625,2.19274,1.35861,0,0.0325689,0.388015,0.299361,0.373626,0.38516,0,-0.00226204,0.663869
3.75,-4.1028,-3.57844,2.345,1.05768,1,0.802877,2.85781,1.58686,1.73318,1.04457,0,0.0909911,0.410678,0.345806,0.379731,0.389207,0,-0.00202201,0.672243
3.8,-3.95484,-3.53385,2.4198,1.08512,1,0.80529,3.05929,1.69609,1.2563,0.914061,0,0.115424,0.423654,0.354507,0.372815,0.389031,0,-0.00241231,0.677684
3.85,-3.79699,-3.40448,2.47042,1.13854,1,0.815001,3.25313,1.97196,0.766869,0.563488,0,0.185131,0.429949,0.384222,0.368054,0.385563,-1.48739e-17,-0.00451457,0.679675
3.9,-3.62966,-3.34877,2.49636,1.15237,1,0.820326,3.43883,2.07701,0.269777,0.420799,0,0.214677,0.448815,0.391577,0.380957,0.385013,0,-0.00479919,0.688519
3.95,-3.45325,-3.19164,2.49735,1.16945,1,0.837947,3.61594,2.33846,-0.230011,0.0495749,0,0.285332,0.439325,0.411411,0.359998,0.37883,0,-0.00769994,0.684671
4,-3.26822,-3.12585,2.4734,1.1682,1,0.845158,3.78401,2.43586,-0.7275,-0.095526,0,0.311695,0.404751,0.413491,0.320898,0.376942,0,-0.0084862,0.667218
4.05,-3.07501,-2.94433,2.42473,1.14609,1,0.866148,3.94263,2.67225,-1.21772,-0.463621,0,0.367568,0.403368,0.420097,0.321558,0.366054,7.31377e-18,-0.0118861,0.66907
4.1,-2.87412,-2.86916,2.35183,1.13042,1,0.875544,4.09139,2.76008,-1.69577,-0.605173,0,0.389931,0.383112,0.419234,0.307921,0.362574,-7.28137e-18,-0.0128447,0.662338
4.15,-2.66604,-2.66449,2.25543,1.07283,1,0.902952,4.22992,2.96982,-2.15688,-0.951829,0,0.433475,0.359951,0.411483,0.289112,0.348712,0,-0.01549,0.652908
4.2,-2.4513,-2.58086,2.1365,1.04384,1,0.91444,4.35788,3.04632,-2.59644,-1.08032,0,0.447753,0.343541,0.408709,0.295758,0.345981,7.25385e-18,-0.0158739,0.654139
4.25,-2.23044,-2.35613,1.99622,0.953923,1,0.945543,4.47495,3.22368,-3.01006,-1.381,0,0.459539,0.311876,0.383877,0.268515,0.326552,0,-0.0192782,0.639432
4.3,-2.004,-2.13263,1.83599,0.850425,1,0.97566,4.58083,3.36909,-3.3936,-1.62932,0,0.45778,0.27757,0.357644,0.265282,0.309355,0,-0.0215796,0.631985
4.35,-1.77255,-2.02411,1.65742,0.796274,1,0.989737,4.67526,3.42916,-3.74323,-1.73255,0,0.449825,0.224278,0.337414,0.223034,0.296904,3.55756e-18,-0.0226498,0.606352
4.4,-1.53666,-1.79292,1.46229,0.671285,1,1.01672,4.75801,3.53868,-4.05546,-1.92119,0,0.417851,0.202549,0.305349,0.227711,0.27835,0,-0.0232219,0.605561
4.45,-1.29694,-1.68145,1.25255,0.608396,1,1.02872,4.82887,3.58254,-4.32718,-1.99582,0,0.394938,0.149824,0.280577,0.200883,0.264085,0,-0.0236709,0.587857
4.5,-1.05398,-1.43997,1.0303,0.467579,1,1.05178,4.88765,3.66185,-4.55565,-2.12593,0,0.334563,0.123333,0.241579,0.198162,0.244449,0,-0.0232357,0.58437
4.55,-0.808381,-1.32408,0.797746,0.398585,1,1.06127,4.93422,3.69295,-4.73861,-2.17317,0,0.299044,0.0790352,0.213428,0.161964,0.231887,8.78864e-19,-0.022375,0.569827
4.6,-0.560763,-1.07461,0.557225,0.247673,1,1.07724,4.96845,3.74739,-4.87422,-2.24682,0,0.209703,0.0512325,0.170651,0.158376,0.213177,0,-0.0206583,0.567722
4.65,-0.311743,-0.955634,0.311136,0.175214,1,1.08266,4.99027,3.76831,-4.96113,-2.26948,0,0.161743,-0.0129713,0.141083,0.143787,0.199586,1.09551e-19,-0.0193439,0.561198
4.7,-0.061943,-0.700741,0.061939,0.0193946,1,1.08894,4.99962,3.80049,-4.99847,-2.29506,0,0.0526084,-0.0581215,0.0969777,0.116378,0.179104,4.36634e-19,-0.016811,0.560419
4.75,0.188011,-0.579851,-0.187878,-0.0542739,1,1.08924,4.99646,3.81058,-4.98586,-2.29651,0,-0.000498788,-0.0943913,0.0680647,0.112777,0.165286,8.72907e-19,-0.0149084,0.55988
4.8,0.437495,-0.324395,-0.435817,-0.212102,1,1.08387,4.98082,3.82181,-4.92344,-2.2779,0,-0.117321,-0.128105,0.0217034,0.106321,0.145995,0,-0.0119125,0.560622
4.85,0.685886,-0.203712,-0.679402,-0.285632,1,1.07875,4.95273,3.82325,-4.81182,-2.25823,0,-0.172109,-0.164953,-0.0104749,0.0796612,0.133231,0,-0.00984702,0.569337
4.9,0.932562,0.0528904,-0.916198,-0.439272,1,1.062,4.91226,3.81711,-4.65213,-2.19783,0,-0.285516,-0.216892,-0.0549996,0.0753617,0.115338,0,-0.00661453,0.571587
4.95,1.17691,0.279339,-1.14384,-0.570458,1,1.04122,4.85952,3.80261,-4.44596,-2.12192,0,-0.376377,-0.242254,-0.0957241,0.0476688,0.0969246,-8.68348e-19,-0.00294601,0.586875
5,1.41831,0.429961,-1.36005,-0.654999,1,1.02451,4.79462,3.78877,-4.19536,-2.05857,0,-0.429591,-0.264304,-0.129759,0.0222184,0.0842729,0,-0.000503357,0.60283
5.05,1.65617,0.654966,-1.56268,-0.776418,1,0.995807,4.71774,3.75974,-3.90284,-1.94356,0,-0.498744,-0.292274,-0.172463,0.0127578,0.068175,0,0.00251701,0.611331
5.1,1.88989,0.804092,-1.74969,-0.853115,1,0.974668,4.62907,3.73542,-3.57133,-1.85257,0,-0.534305,-0.317445,-0.200761,-0.0112917,0.0559501,2.16854e-19,0.00480034,0.627974
5.15,2.11888,1.02542,-1.91921,-0.961121,1,0.940182,4.52883,3.69104,-3.20413,-1.69696,0,-0.572862,-0.354269,-0.23814,-0.0214078,0.0379016,4.3378e-19,0.00793263,0.638077
5.2,2.34258,1.1708,-2.06957,-1.02803,1,0.915909,4.41727,3.655,-2.80492,-1.58101,0,-0.584244,-0.385347,-0.261561,-0.0456715,0.0254593,1.73653e-18,0.00984997,0.65405
5.25,2.56043,1.3863,-2.19924,-1.1189,1,0.879254,4.29467,3.59055,-2.37769,-1.38506,0,-0.585526,-0.407861,-0.302502,-0.0567679,0.0053357,0,0.012245,0.66385
5.3,2.77187,1.52791,-2.30694,-1.17245,1,0.855079,4.16134,3.54165,-1.92669,-1.23787,0,-0.573958,-0.401588,-0.328445,-0.078384,-0.00530289,-3.48013e-18,0.0131456,0.675442
5.35,2.97639,1.7367,-2.39159,-1.24096,1,0.820366,4.0176,3.45903,-1.45645,-0.995092,0,-0.541859,-0.417484,-0.363452,-0.0903989,-0.0239891,0,0.0153338,0.68427
5.4,3.17346,1.87315,-2.45234,-1.27808,1,0.798671,3.86382,3.39649,-0.97165,-0.817538,0,-0.507888,-0.456114,-0.384101,-0.122683,-0.0367483,-3.49572e-18,0.0169458,0.699621
5.45,3.36261,2.07307,-2.48859,-1.31989,1,0.768985,3.70039,3.29195,-0.477144,-0.536024,0,-0.444781,-0.46142,-0.405687,-0.145867,-0.0563614,-7.01337e-18,0.0194619,0.705853
5.5,3.54335,2.30443,-2.49998,-1.3469,1,0.739122,3.5277,3.14939,0.022128,-0.180024,0,-0.345609,-0.452105,-0.423942,-0.157817,-0.0827134,0,0.0220816,0.704995
5.55,3.71523,2.39051,-2.48638,-1.35133,1,0.729199,3.3462,3.08831,0.52118,-0.0374231,0,-0.302269,-0.437248,-0.429324,-0.175985,-0.0900599,0,0.0227572,0.702004
5.6,3.87783,2.60327,-2.44794,-1.34449,1,0.709324,3.15633,2.91663,1.01502,0.334052,0,-0.189838,-0.436828,-0.442312,-0.194416,-0.118847,1.41443e-17,0.0248,0.703805
5.65,4.03073,2.6827,-2.38505,-1.33456,1,0.703728,2.95858,2.8454,1.49873,0.477038,0,-0.147187,-0.419702,-0.441667,-0.216303,-0.125707,7.10444e-18,0.025085,0.698378
5.7,4.17356,2.87829,-2.29832,-1.29004,1,0.695389,2.75343,2.65233,1.96745,0.838878,0,-0.0326544,-0.404292,-0.438504,-0.23122,-0.153985,0,0.026011,0.69316
5.75,4.30596,2.95057,-2.18863,-1.26571,1,0.694431,2.5414,2.57172,2.41652,0.976665,0,0.0109453,-0.367381,-0.43783,-0.245052,-0.162102,-7.15258e-18,0.0265868,0.681022
5.8,4.4276,3.12645,-2.05707,-1.18533,1,0.697446,2.32301,2.35766,2.84145,1.31245,0,0.105492,-0.35207,-0.419909,-0.27028,-0.192611,0,0.0271837,0.678488
5.85,4.53817,3.19071,-1.90496,-1.1477,1,0.700436,2.09882,2.2713,3.23798,1.43401,0,0.140049,-0.302079,-0.413925,-0.269836,-0.19793,0,0.0270727,0.658899
